Serial	Date Time	ref(µF)	(µF)	(µF)	(µF)	(µF)	(µF)	(°C)
2H-AC01   	24/11/2022 09:48	27,88	27,99	0	0	0	0	33
2H-AC02   	24/11/2022 09:49	27,88	27,65	0	0	0	0	33
2H-AC03   	24/11/2022 09:49	27,88	27,65	0	0	0	0	33
2H-AC04   	24/11/2022 09:50	27,88	28,02	0	0	0	0	33
2H-AC05   	24/11/2022 09:50	27,88	27,91	0	0	0	0	33
2H-AC06   	24/11/2022 09:51	27,88	27,78	0	0	0	0	33
2H-AC07   	24/11/2022 09:51	26,02	25,97	0	0	0	0	33
2H-AC08   	24/11/2022 09:52	26,02	26,13	0	0	0	0	33
2H-AC09   	24/11/2022 09:52	26,02	25,82	0	0	0	0	33
2H-AC10   	24/11/2022 09:53	27,88	27,95	0	0	0	0	33
2H-AC11   	24/11/2022 09:54	27,88	27,81	0	0	0	0	33
2H-AC12   	24/11/2022 09:54	27,88	27,88	27,88	0	0	0	33
2H-AC13   	24/11/2022 09:56	27,88	27,69	0	0	0	0	33
2H-AC14   	24/11/2022 09:56	27,88	28,03	0	0	0	0	33
2H-AC15   	24/11/2022 09:56	27,88	27,96	0	0	0	0	33
2H-AC16   	24/11/2022 09:57	27,88	28,12	0	0	0	0	33
2H-AC17   	24/11/2022 09:57	27,88	28,17	0	0	0	0	33
2H-AC18   	24/11/2022 09:58	27,88	27,88	0	0	0	0	33
2H-AC19   	24/11/2022 09:59	26,02	26,02	0	0	0	0	33
2H-AC20   	24/11/2022 09:59	26,02	25,83	0	0	0	0	33
2H-AC21   	24/11/2022 09:59	26,02	25,77	0	0	0	0	33
2H-AC22   	24/11/2022 10:00	27,88	28,21	0	0	0	0	33
2H-AC23   	24/11/2022 10:01	27,88	27,73	0	0	0	0	34
2H-AC24   	24/11/2022 10:01	27,88	27,93	0	0	0	0	34
2H-BC25   	24/11/2022 10:03	27,88	27,66	0	0	0	0	34
2H-BC26   	24/11/2022 10:03	27,88	27,7	0	0	0	0	34
2H-BC27   	24/11/2022 10:04	27,88	28	0	0	0	0	34
2H-BC28   	24/11/2022 10:04	27,88	28,11	0	0	0	0	34
2H-BC29   	24/11/2022 10:04	27,88	27,94	0	0	0	0	34
2H-BC30   	24/11/2022 10:05	27,88	27,94	0	0	0	0	34
2H-BC31   	24/11/2022 10:07	26,02	26,14	25,51	26,12	0	0	34
2H-BC32   	24/11/2022 10:07	26,02	25,46	0	0	0	0	34
2H-BC33   	24/11/2022 10:08	26,02	25,63	0	0	0	0	34
2H-BC34   	24/11/2022 10:08	27,88	28,03	0	0	0	0	34
2H-BC35   	24/11/2022 10:09	27,88	28,2	0	0	0	0	34
2H-BC36   	24/11/2022 10:09	27,88	28,36	0	0	0	0	34
2H-BC37   	24/11/2022 10:11	27,88	28,37	0	0	0	0	33
2H-BC38   	24/11/2022 10:11	27,88	28,31	0	0	0	0	33
2H-BC39   	24/11/2022 10:12	27,88	28,33	0	0	0	0	33
2H-BC40   	24/11/2022 10:12	27,88	28,41	0	0	0	0	33
2H-BC41   	24/11/2022 10:12	27,88	28,31	0	0	0	0	33
2H-BC42   	24/11/2022 10:13	27,88	27,8	0	0	0	0	33
2H-BC43   	24/11/2022 10:14	26,02	26,45	0	0	0	0	33
2H-BC44   	24/11/2022 10:14	26,02	25,73	0	0	0	0	33
2H-BC45   	24/11/2022 10:14	26,02	25,5	0	0	0	0	33
2H-BC46   	24/11/2022 10:15	27,88	28,07	27,99	24,71	0	0	33
2H-BC47   	24/11/2022 10:16	27,88	28,09	0	0	0	0	33
2H-BC48   	24/11/2022 10:16	27,88	28,4	0	0	0	0	33
2H-CC49   	24/11/2022 10:18	27,88	28,03	0	0	0	0	33
2H-CC50   	24/11/2022 10:18	27,88	27,76	0	0	0	0	33
2H-CC51   	24/11/2022 10:19	27,88	28,02	0	0	0	0	33
2H-CC52   	24/11/2022 10:20	27,88	28,13	0	0	0	0	33
2H-CC53   	24/11/2022 10:21	27,88	27,7	0	0	0	0	33
2H-CC54   	24/11/2022 10:22	27,88	27,97	0	0	0	0	33
2H-CC55   	24/11/2022 10:23	26,02	25,54	0	0	0	0	33
